epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,140.128,1.04768,3.48113,1.16072,0.00352,1,0.5044,0.37887,0.76488,3.40636,0.94336,0.00026,0.00026,0.00026
2,268.307,0.99822,2.26107,1.08659,0.85459,0.10523,0.56157,0.41042,0.85114,3.40836,0.9718,0.000529308,0.000529308,0.000529308
3,402.276,1.04473,1.80566,1.08256,0.88153,0.26587,0.58913,0.39173,0.98467,3.31739,1.08297,0.000787528,0.000787528,0.000787528
4,564.185,1.04479,1.72525,1.09514,0.93938,0.42857,0.71934,0.46527,1.11821,3.31303,1.19332,0.00103466,0.00103466,0.00103466
5,670.365,1.08537,1.86252,1.12314,0.88552,0.55254,0.6631,0.45154,1.21134,3.18209,1.19902,0.0012707,0.0012707,0.0012707
6,776.809,1.03206,1.68735,1.10064,0.50852,0.39286,0.3994,0.23474,1.11304,3.01715,1.45017,0.00149566,0.00149566,0.00149566
7,884.944,1.09449,1.56859,1.17508,0.43385,0.55357,0.39757,0.17209,1.27537,3.89672,1.55336,0.00170953,0.00170953,0.00170953
8,1047.18,1.16551,1.61786,1.22425,0.62593,0.47815,0.51097,0.31475,1.13086,3.30553,1.22501,0.0017228,0.0017228,0.0017228
9,1164.56,1.1209,1.47173,1.16111,0.80105,0.50338,0.64815,0.45085,1.11886,2.77791,1.23219,0.0016832,0.0016832,0.0016832
10,1274.06,1.18482,1.43849,1.21433,0.57168,0.40528,0.48407,0.32178,1.26323,2.97508,1.28049,0.0016436,0.0016436,0.0016436
11,1395.96,1.01537,1.2061,1.11511,0.61892,0.67857,0.65127,0.42356,1.19332,2.05475,1.22351,0.001604,0.001604,0.001604
12,1539.09,1.04524,1.17526,1.09934,0.44771,0.60714,0.48634,0.33195,1.26291,2.56616,1.2772,0.0015644,0.0015644,0.0015644
13,1646.53,0.97912,1.10164,1.07982,0.7297,0.71429,0.79619,0.53154,1.0825,2.05563,1.16226,0.0015248,0.0015248,0.0015248
14,1757.63,1.05924,1.08756,1.13887,0.55615,0.73844,0.64218,0.42737,1.07215,2.13413,1.13204,0.0014852,0.0014852,0.0014852
15,1872.15,1.0415,1.10693,1.1392,0.48187,0.61454,0.56869,0.39236,1.05336,2.3123,1.10397,0.0014456,0.0014456,0.0014456
16,2025.68,0.91443,0.95686,1.06235,0.78805,0.875,0.88257,0.60859,1.02493,1.43795,1.09245,0.001406,0.001406,0.001406
17,2186.32,1.0149,1.01965,1.11231,0.59811,0.74419,0.5868,0.39286,1.1173,1.94781,1.15891,0.0013664,0.0013664,0.0013664
18,2291.91,0.92731,0.87625,1.04944,0.85401,0.71429,0.78587,0.54381,1.17663,1.65039,1.18632,0.0013268,0.0013268,0.0013268
19,2645.26,0.92166,0.91648,1.06189,0.72355,0.71429,0.70315,0.48066,1.20583,1.68765,1.20578,0.0012872,0.0012872,0.0012872
20,2753.14,0.92327,0.94132,1.06707,0.93608,0.78451,0.85671,0.61891,1.03574,1.23169,1.1264,0.0012476,0.0012476,0.0012476
21,3151.51,0.94094,0.84624,1.07933,0.97994,0.87245,0.91369,0.66205,0.99422,1.03021,1.09202,0.001208,0.001208,0.001208
22,3254.51,0.92157,0.83767,1.07274,0.94519,0.92387,0.95799,0.71309,0.9656,0.90457,1.05433,0.0011684,0.0011684,0.0011684
23,3407.05,0.89027,0.80107,1.04958,0.89379,0.90173,0.95259,0.71089,0.92533,0.87251,1.0415,0.0011288,0.0011288,0.0011288
24,3520.02,0.8951,0.827,1.05892,0.87654,0.88757,0.91349,0.68022,0.89584,0.97212,1.06214,0.0010892,0.0010892,0.0010892
25,3715.24,0.86773,0.79076,1.03406,0.90728,0.875,0.92238,0.67806,0.95951,0.99594,1.07315,0.0010496,0.0010496,0.0010496
26,3875.38,0.89351,0.76865,1.04335,0.916,0.89286,0.93374,0.70011,0.93464,0.94723,1.05952,0.00101,0.00101,0.00101
27,3990.33,0.80296,0.75077,1.02657,0.94384,0.83929,0.93897,0.72535,0.87727,0.95351,1.03743,0.0009704,0.0009704,0.0009704
28,4101.78,0.8692,0.74436,1.03535,0.88343,0.92857,0.96087,0.68122,0.9893,0.79289,1.0829,0.0009308,0.0009308,0.0009308
29,4471.95,0.75552,0.68918,0.95879,0.95658,0.89286,0.96611,0.72552,0.92392,0.7618,1.03754,0.0008912,0.0008912,0.0008912
